Date,Not indexed,Indexed,Impressions
2026-07-05,,,0
2026-07-06,,,2
2026-07-07,,,9
2026-07-08,,,61
2026-07-09,,,92
2026-07-10,101,127,366
2026-07-11,164,66,212
2026-07-12,164,66,217
2026-07-13,164,66,137
2026-07-14,164,66,104
2026-07-15,164,66,26
2026-07-16,164,66,14
2026-07-17,164,66,18
2026-07-18,164,66,16
2026-07-19,164,66,22
2026-07-20,164,66,22
2026-07-21,164,66,16
2026-07-22,164,66,20
2026-07-23,164,66,27
2026-07-24,164,66,22
2026-07-25,100,67,30
2026-07-26,100,67,20
2026-07-27,100,67,15
2026-07-28,100,67,25
2026-07-29,100,67,20
2026-07-30,100,67,36
2026-07-31,100,67,30
2026-08-01,100,67,40
2026-08-02,100,67,26
2026-08-03,100,67,19
2026-08-04,100,67,22
2026-08-05,100,67,22
