Country,Clicks,Impressions,CTR,Position
United States,3,524,0.57%,22.7
India,2,45,4.44%,21.38
Brazil,1,69,1.45%,24.67
Indonesia,1,66,1.52%,24.92
Singapore,1,7,14.29%,8.57
Romania,1,4,25%,6.5
Vietnam,0,104,0%,27.09
Philippines,0,88,0%,26.57
Bangladesh,0,64,0%,32.89
Malaysia,0,55,0%,25.85
Pakistan,0,52,0%,25.12
Mexico,0,45,0%,26.07
Morocco,0,41,0%,30.51
Canada,0,39,0%,12.46
United Kingdom,0,37,0%,16.49
Netherlands,0,36,0%,18.03
Egypt,0,33,0%,24.61
Germany,0,27,0%,20.07
Australia,0,24,0%,14.75
Russia,0,22,0%,27.59
Colombia,0,21,0%,24
Ecuador,0,21,0%,30.71
South Africa,0,17,0%,18.53
Spain,0,17,0%,20.76
Argentina,0,17,0%,20.88
Thailand,0,17,0%,28.59
Saudi Arabia,0,15,0%,27
Algeria,0,15,0%,31
France,0,12,0%,14.67
Chile,0,11,0%,23
Sweden,0,11,0%,35.73
Japan,0,7,0%,10
Ukraine,0,7,0%,18.14
Belgium,0,6,0%,7
United Arab Emirates,0,6,0%,16.17
Oman,0,6,0%,20.5
Jordan,0,6,0%,20.83
Nigeria,0,6,0%,21.67
Turkey,0,6,0%,22
Greece,0,5,0%,7.8
Italy,0,5,0%,31.8
Iraq,0,5,0%,36.2
Venezuela,0,5,0%,69.8
Hong Kong,0,4,0%,5.25
Poland,0,4,0%,7
Ireland,0,4,0%,8.25
South Korea,0,4,0%,8.75
Finland,0,4,0%,9.25
Israel,0,4,0%,20.75
Portugal,0,4,0%,22.25
Uruguay,0,4,0%,26.25
Peru,0,4,0%,29.5
Switzerland,0,3,0%,8.67
Taiwan,0,3,0%,9
Belarus,0,3,0%,27.67
Slovenia,0,2,0%,4
Denmark,0,2,0%,6
Norway,0,2,0%,6.5
New Zealand,0,2,0%,7
Kenya,0,2,0%,8
Puerto Rico,0,2,0%,8
China,0,2,0%,9
Costa Rica,0,2,0%,12.5
Kazakhstan,0,2,0%,13.5
Serbia,0,2,0%,16.5
Bahrain,0,2,0%,38
Ethiopia,0,2,0%,45.5
Austria,0,1,0%,3
Bulgaria,0,1,0%,4
Latvia,0,1,0%,6
Moldova,0,1,0%,6
Czechia,0,1,0%,7
Tanzania,0,1,0%,7
Hungary,0,1,0%,8
Madagascar,0,1,0%,8
Cyprus,0,1,0%,9
Estonia,0,1,0%,9
Georgia,0,1,0%,9
Iceland,0,1,0%,9
Sri Lanka,0,1,0%,9
Malawi,0,1,0%,9
Nepal,0,1,0%,9
Zambia,0,1,0%,9
Zimbabwe,0,1,0%,9
Mauritius,0,1,0%,10
Dominican Republic,0,1,0%,11
Paraguay,0,1,0%,18
Cambodia,0,1,0%,24
Lebanon,0,1,0%,25
Azerbaijan,0,1,0%,28
Panama,0,1,0%,30
Senegal,0,1,0%,35
Jamaica,0,1,0%,43
Myanmar (Burma),0,1,0%,49
Qatar,0,1,0%,50
